,"仕入先
コード",工区,仕入先名,発送場所名,受入,納入先,最長便ピッチ時間h:mm,"最長便ピッチを
""分""へ変換",納入回数,等ピッチ時間分,不等ピッチ時間分,1日1回納入省く分,不等ピッチ係数日
700201,7002,1,矢崎総業（株）,,1Y,カリツー西尾東経由,0,0,1,1150,-1150,0,0
428702,4287,2,日本精工（株）,三河分室,1Y,カリツー西尾東経由,0.166666667,240,8,143.8,96.2,96.2,0.09
323601,3236,1,中庸スプリング（株）,,1Y,カリツー西尾東経由,0.479166667,690,2,575,115,115,0.1
81601,816,1,大橋鉄工（株）,,1Y,カリツー西尾東経由,0,0,1,1150,-1150,0,0
310201,3102,1,多摩川精機販売（株）,,1Y,カリツー西尾東経由,0,0,1,1150,-1150,0,0
20801,208,1,石黒ゴム工業（株）,,1Y,カリツー西尾東経由,0.628472222,905,2,575,330,330,0.29
224201,2242,1,新光ゴム工業（株）,本社,1Y,安城第1工場直納,0,0,1,1150,-1150,0,0
83401,834,1,小川工業（株）,,1Y,カリツー西尾東経由,0.4375,630,2,575,55,55,0.05
250601,2506,1,住友電装（株）,,1Y,カリツー西尾東経由,0,0,1,1150,-1150,0,0
250604,2506,4,住友電装（株）,四日市物流センター,1Y,安城第1工場直納,0,0,1,1150,-1150,0,0
250801,2508,1,住友電気工業（株）,,1Y,カリツー西尾東経由,0,0,1,1150,-1150,0,0
250201,2502,1,住友商事（株）鉄鋼部輸送機材,鉄鋼部輸送機材,1Y,カリツー西尾東経由,0,0,1,1150,-1150,0,0
203601,2036,1,三共鋼業（株）,東浦南工場,1Y,カリツー西尾東経由,0,0,1,1150,-1150,0,0
201703,2017,3,佐藤工業（株）,藤塗装,1Y,カリツー西尾東経由,0.4375,630,2,575,55,55,0.05
182101,1821,1,五興商事（株）,,1Y,カリツー西尾東経由,0,0,1,1150,-1150,0,0
83101,831,1,岡谷鋼機（株）,刈谷支店,1Y,カリツー西尾東経由,0,0,1,1150,-1150,0,0
22601,226,1,伊藤金属工業（株）,,1Y,カリツー西尾東経由,0,0,1,1150,-1150,0,0
15501,155,1,愛産樹脂工業（株）,本社工場,1Y,安城第1工場直納,0,0,1,1150,-1150,0,0
609501,6095,1,ミズショー（株）,三河支店,1Y,カリツー西尾東経由,0,0,1,1150,-1150,0,0
104204,1042,4,マレリ（株）,澁澤倉庫,1Y,カリツー西尾東経由,0.579861111,835,2,575,260,260,0.23
412501,4125,1,ナミコー（株）,,1Y,カリツー西尾東経由,0,0,1,1150,-1150,0,0
947001,9470,1,サンコール（株）,豊田,1Y,カリツー西尾東経由,0,0,1,1150,-1150,0,0
202001,2020,1,サトープレス工業（株）,本社工場,1Y,カリツー西尾東経由,0,0,1,1150,-1150,0,0
112,1,12,アイシン精機（株）,半田工場,1Y,カリツー西尾東経由,0.305555556,440,4,287.5,152.5,152.5,0.14
203806,2038,6,アイシン機工（株）,吉良工場,1Y,カリツー西尾東経由,0.184027778,265,6,191.7,73.3,73.3,0.12
204101,2041,1,アイシン・エィ・ダブリュ工業（株）,本社工場,1Y,安城第1工場直納,0.326388889,470,4,287.5,182.5,182.5,0.16
241101,2411,1,アイコー（株）,,1Y,カリツー西尾東経由,0.649305556,935,2,575,360,360,0.32
424101,4241,1,ＮＯＫ（株）,,1Y,カリツー西尾東経由,0.416666667,600,2,575,25,25,0.03
383601,3836,1,（株）東郷製作所,,1Y,カリツー西尾東経由,0.159722222,230,8,143.8,86.2,86.2,0.08
340701,3407,1,（株）槌屋,知立工場,1Y,カリツー西尾東経由,0,0,1,1150,-1150,0,0
3001,30,1,（株）浅賀井製作所,安城工場,1Y,カリツー西尾東経由,0.298611111,430,4,287.5,142.5,142.5,0.13
2401,24,1,（株）青山製作所,,1Y,カリツー西尾東経由,0.190972222,275,6,191.7,83.3,83.3,0.08
240801,2408,1,（株）杉浦製作所,,1Y,カリツー西尾東経由,0.493055556,710,2,575,135,135,0.12
610301,6103,1,（株）水野鉄工所,,1Y,カリツー西尾東経由,0,0,1,1150,-1150,0,0
606501,6065,1,（株）松尾製作所,,1Y,カリツー西尾東経由,0,0,1,1150,-1150,0,0
3801,38,1,（株）旭工業所,本社工場,1Y,カリツー西尾東経由,0,0,1,1150,-1150,0,0
704201,7042,1,（株）メタルテック,,1Y,カリツー西尾東経由,0,0,1,1150,-1150,0,0
645401,6454,1,（株）ムロコーポレーション,,1Y,カリツー西尾東経由,0,0,1,1150,-1150,0,0
426701,4267,1,（株）バルカー,豊田営業所,1Y,カリツー西尾東経由,0.583333333,840,2,575,265,265,0.24
940701,9407,1,（株）ニフコ,名古屋事業所,1Y,カリツー西尾東経由,0,0,1,1150,-1150,0,0
181402,1814,2,（株）ジェイテクト,香川工場,1Y,カリツー西尾東経由,0,0,1,1150,-1150,0,0
101401,1014,1,（株）ギフ加藤製作所,本社工場（ＡＷ発行拠点）,1Y,カリツー西尾東経由,0.489583333,705,2,575,130,130,0.12
93001,930,1,（株）オンド,本社工場,1Y,カリツー西尾東経由,0.232638889,335,4,287.5,47.5,47.5,0.05
81001,810,1,（株）オーハシテクニカ,,1Y,カリツー西尾東経由,0,0,1,1150,-1150,0,0
388001,3880,1,（株）ＢｌｕＥ　Ｎｅｘｕｓ,デンソー　安城製作所,1Y,カリツー西尾東経由,0.215277778,310,5,230,80,80,0.18
