仕入先名,工場名,距離（km）,不等ピッチ便
アイシン精機（株）,半田工場,20.8,4
（株）青山製作所,（株）青山製作所,75.2,3
（株）浅賀井製作所,安城工場,21.2,4
（株）旭工業所,本社工場,17.2,無し
愛産樹脂工業（株）,本社工場,6.6,無し
石黒ゴム工業（株）,,56.6,2
伊藤金属工業（株）,,24.3,無し
（株）オーハシテクニカ,,14.9,無し
大橋鉄工（株）,,59,無し
岡谷鋼機（株）,刈谷支店,47.6,無し
小川工業（株）,小川工業（株）,43.8,2
（株）オンド,本社工場,479,4
（株）ギフ加藤製作所,本社工場（ＡＷ発行拠点）,88.7,2
マレリ（株）,澁澤倉庫,223,2
（株）ジェイテクト,香川工場,346,無し
五興商事（株）,,18,無し
佐藤工業（株）,藤塗装,16.3,1
サトープレス工業（株）,本社工場,24.1,無し
三共鋼業（株）,東浦南工場,21.2,無し
アイシン機工（株）,吉良工場,8.4,4
（株）アイシン福井,本社工場,69.5,4
新光ゴム工業（株）,本社,41.4,無し
（株）杉浦製作所,,8.6,2
アイコー（株）,アイコー（株）,10.6,2
住友商事（株）鉄鋼部輸送機材,鉄鋼部輸送機材,46,無し
住友電装（株）,豊田物流センター,25.2,無し
住友電装（株）,四日市物流センター,78,無し
住友電気工業（株）,住友電気工業（株）,25.2,無し
多摩川精機販売（株）,多摩川精機販売（株）,991,無し
（株）チューゲン,,56,無し
中庸スプリング（株）,中庸スプリング（株）,11.9,1
（株）槌屋,知立工場,19.5,無し
（株）東郷製作所,（株）東郷製作所,32,8
（株）ＢｌｕＥ　Ｎｅｘｕｓ,デンソー　安城製作所,20.1,2
ナミコー（株）,本社工場,196,無し
ＮＯＫ（株）,,40.6,2
（株）バルカー,豊田営業所,38.6,2
日本精工（株）,三河分室,8.6,4
（株）松尾製作所,,25.3,無し
ミズショー（株）,三河支店,17.1,無し
（株）水野鉄工所,（株）水野鉄工所,47.1,無し
（株）ムロコーポレーション,（株）ムロコーポレーション,74.5,無し
矢崎総業（株）,,205,無し
（株）メタルテック,（株）メタルテック,71.9,無し
（株）ニフコ,名古屋事業所,29.1,無し
サンコール（株）,豊田,30.9,無し
